41											
71											
2	14	32									
54	67										
15											
39											
5											
9	20	27	37	44	45	56	57	63	69		
58											
55											
4											
24											
31											
53											
16											
17	49										
6	38										
36											
13											
65	34										
40											
1	8	23	29	43	59						
64											
19											
18											
62											
10	21	22	30	33	42	46	51	70			
60											
47											
3	7	12	25	28	35	48	50	52	61	66	68
11											
26											
